n	N	estimacion	estimacion_se	estimacion_low	estimacion_upp	se	ind	des	mes	CLASE	nivel	periodicidad	trim	orden	indice
215701	152889126.000013	0.57724305557832	0.00207453582768595	0.573177017255522	0.581309093901119	0.002010257444339485	prob	ratio	0	Nacional	nacional	Trimestre	4	3	217
27643	34861208.9999944	0.570698167351741	0.00452518602176842	0.561828915957405	0.579567418746076	0.004757707045138687	prob	ratio	0	Rural	nacional	Trimestre	4	5	218
188058	118027917.000019	0.579022350837882	0.00233409613438858	0.574447580807467	0.583597120868297	0.0021759771917726355	prob	ratio	0	Urbano	nacional	Trimestre	4	4	219
86826	67176412.0000127	0.592081026569798	0.00308881495183392	0.586026976114163	0.598135077025432	0.0029430276051812627	prob	ratio	0	Nacional	13_ciudad	Trimestre	4	6	220
168716	118427870.00001	0.101801842582027	0.00158347546879924	0.0986982654276574	0.104905419736397	0.0017268598109452657	tsd	ratio	0	Nacional	nacional	Trimestre	4	3	221
20644	25313971.9999946	0.0667696606768447	0.00275877371305159	0.0613625247668739	0.0721767965868156	0.0031188807879671595	tsd	ratio	0	Rural	nacional	Trimestre	4	5	222
148072	93113898.0000152	0.110746441821968	0.0018539297481181	0.107112780217833	0.114380103426103	0.002009323161719249	tsd	ratio	0	Urbano	nacional	Trimestre	4	4	223
70421	54287419.0000078	0.103746995893572	0.00236172342650364	0.0991180234743628	0.108375968312781	0.002514300976915891	tsd	ratio	0	Nacional	13_ciudad	Trimestre	4	6	224
215701	152889126.000013	22787221.8481459	362407.182222707	67651356.533762	69071974.5551135	79356.83576159093	tot_pob	total	0	Nacional	nacional	Trimestre	4	3	225
27643	34861208.9999944	4815545.80959673	178116.752526085	14097533.0498548	14795741.8077256	40145.48764161484	tot_pob	total	0	Rural	nacional	Trimestre	4	5	226
188058	118027917.000019	17971676.0385492	326856.805289752	53274396.9543829	54555659.2769123	67537.90609501582	tot_pob	total	0	Urbano	nacional	Trimestre	4	4	227
86826	67176412.0000127	10714183.5904498	262778.1053178	31627507.9691622	32657593.5735364	53256.4575770159	tot_pob	total	0	Nacional	13_ciudad	Trimestre	4	6	228
215701	152889126.000013	2582705.33323659	125537.887765626	7502064.88031908	7994167.11910047	44474.264711118965	tot_deso	total	0	Nacional	nacional	Trimestre	4	3	229
27643	34861208.9999944	344536.97670585	43838.9324848524	947687.719182787	1119534.14105232	16149.243938395955	tot_deso	total	0	Rural	nacional	Trimestre	4	5	230
188058	118027917.000019	2238168.35653074	117907.843753298	6483408.64558193	6945601.49360252	41334.764629864876	tot_deso	total	0	Urbano	nacional	Trimestre	4	4	231
86826	67176412.0000127	1240235.01831339	88754.0427120544	3546747.9027316	3894662.20714876	30555.095936015325	tot_deso	total	0	Nacional	13_ciudad	Trimestre	4	6	232
215701	152889126.000013	0.642667824255737	0.001996112182139	0.638755494316255	0.646580154195218	0.0018701345681003865	tgp	ratio	0	Nacional	nacional	Trimestre	4	3	233
27643	34861208.9999944	0.611529804920028	0.00444346374426707	0.602820727145117	0.620238882694939	0.00455347183027625	tgp	ratio	0	Rural	nacional	Trimestre	4	5	234
188058	118027917.000019	0.651133015451999	0.00223080832974571	0.646760686934693	0.655505343969305	0.001989407945270077	tgp	ratio	0	Urbano	nacional	Trimestre	4	4	235
86826	67176412.0000127	0.660618177966508	0.00295083498778288	0.654834567041003	0.666401788892013	0.0027339398368078725	tgp	ratio	0	Nacional	13_ciudad	Trimestre	4	6	236
168716	118427870.00001	14106029.4852874	269124.377539107	41790610.5843878	42845566.3273368	73825.351171166	pffl	total	0	Nacional	nacional	Trimestre	4	3	237
20644	25313971.9999946	3277907.88036229	138883.408870972	9561515.20882124	10105932.0733525	38422.15280480078	pffl	total	0	Rural	nacional	Trimestre	4	5	238
148072	93113898.0000152	10828121.6049251	238591.90502839	32016729.9190955	32951999.7104553	61747.17616542375	pffl	total	0	Urbano	nacional	Trimestre	4	4	239
70421	54287419.0000078	6141387.72457273	187629.735522336	18056409.3287889	18791917.0186476	49472.84581386191	pffl	total	0	Nacional	13_ciudad	Trimestre	4	6	240
215513	153018274.000013	0.580287373410152	0.00206716964714741	0.576235772597094	0.58433897422321	0.001984318383545239	prob	ratio	0	Nacional	nacional	Trimestre	5	3	241
27995	34877008.9999934	0.568739959684012	0.00449922754635702	0.559921586208903	0.577558333159121	0.004600600490031421	prob	ratio	0	Rural	nacional	Trimestre	5	5	242
187518	118141265.00002	0.583424839235124	0.00232705431679165	0.578863870968705	0.587985807501543	0.0021470089213211055	prob	ratio	0	Urbano	nacional	Trimestre	5	4	243
86757	67231027.0000096	0.598304281163409	0.00303861467671535	0.592348622744601	0.604259939582216	0.002860943561004361	prob	ratio	0	Nacional	13_ciudad	Trimestre	5	6	244
168682	118564533.00001	0.097941889216257	0.00155197792421538	0.094900046553359	0.100983731879155	0.0016863926206631468	tsd	ratio	0	Nacional	nacional	Trimestre	5	3	245
20895	25331645.9999953	0.0670305629066236	0.00285868662293806	0.0614275998787152	0.0726335259345319	0.0031562028051430346	tsd	ratio	0	Rural	nacional	Trimestre	5	5	246
147787	93232887.000015	0.105789063623617	0.00180251388421726	0.102256175978807	0.109321951268426	0.0019437388073771037	tsd	ratio	0	Urbano	nacional	Trimestre	5	4	247
70620	54347604.0000056	0.0994041262776074	0.00228896960200387	0.0949177514023858	0.103890501152829	0.0024119482328285625	tsd	ratio	0	Nacional	13_ciudad	Trimestre	5	6	248
215513	153018274.000013	22933833.8113924	361557.841866181	68092857.1058832	69510145.7624713	78423.26082278503	tot_pob	total	0	Nacional	nacional	Trimestre	5	3	249
27995	34877008.9999934	4802373.10825567	176259.495253753	14061655.1219306	14752583.5276034	38846.92766696771	tot_pob	total	0	Rural	nacional	Trimestre	5	5	250
187518	118141265.00002	18131460.7031368	327000.403639146	53753469.4958359	55035294.7229846	66723.94671650998	tot_pob	total	0	Urbano	nacional	Trimestre	5	4	251
86757	67231027.0000096	10838801.3813923	260389.434020545	32006043.11131	33026765.1770438	51828.47590660436	tot_pob	total	0	Nacional	13_ciudad	Trimestre	5	6	252
215513	153018274.000013	2490064.64617659	123129.450152734	7228863.29542621	7711524.58163333	43968.007119099086	tot_deso	total	0	Nacional	nacional	Trimestre	5	3	253
27995	34877008.9999934	345033.566948227	45480.7563382023	945959.555795147	1124241.84589422	16520.286351410898	tot_deso	total	0	Rural	nacional	Trimestre	5	5	254
187518	118141265.00002	2145031.07922836	114691.663159529	6210300.44607778	6659886.0292924	40492.12700385042	tot_deso	total	0	Urbano	nacional	Trimestre	5	4	255
86757	67231027.0000096	1196343.0131659	86460.6886833885	3419566.83937113	3758491.23962429	29718.052364242	tot_deso	total	0	Nacional	13_ciudad	Trimestre	5	6	256
215513	153018274.000013	0.643292673136075	0.00199192162147335	0.639388556571551	0.647196789700599	0.0019185999905077084	tgp	ratio	0	Nacional	nacional	Trimestre	5	3	257
27995	34877008.9999934	0.609601919496844	0.00441477245477936	0.600949075889192	0.618254763104496	0.004538401205303162	tgp	ratio	0	Rural	nacional	Trimestre	5	5	258
187518	118141265.00002	0.652446548684967	0.00222898032587182	0.648077802988137	0.656815294381798	0.0020496287253687936	tgp	ratio	0	Urbano	nacional	Trimestre	5	4	259
86757	67231027.0000096	0.664342685349494	0.00290197837452033	0.658654832898228	0.670030537800761	0.002734927942740505	tgp	ratio	0	Nacional	13_ciudad	Trimestre	5	6	260
168682	118564533.00001	14097612.5424344	269241.321693033	41765130.5470915	42820544.7075151	75825.97062945092	pffl	total	0	Nacional	nacional	Trimestre	5	3	261
20895	25331645.9999953	3296475.32479454	138160.087605447	9618635.23552667	10160216.7132406	38321.7242462377	pffl	total	0	Rural	nacional	Trimestre	5	5	262
147787	93232887.000015	10801137.2176399	239169.756695081	31934644.1799817	32872179.1258577	63697.601114757	pffl	total	0	Urbano	nacional	Trimestre	5	4	263
70620	54347604.0000056	6080723.60544367	184125.431895698	17881285.4158333	18603056.2168286	49545.59360019809	pffl	total	0	Nacional	13_ciudad	Trimestre	5	6	264
215844	153149004.999996	0.584604519478515	0.00207799840812229	0.580531694599828	0.588677344357203	0.0019535442617937566	prob	ratio	0	Nacional	nacional	Trimestre	6	3	265
27910	34893330.9999907	0.567631732631193	0.00454370612354386	0.558726182333809	0.576537282928576	0.0042694819725644755	prob	ratio	0	Rural	nacional	Trimestre	6	5	266
187934	118255674.000006	0.589213412910269	0.00233583073873865	0.584635243115743	0.593791582704795	0.0021265754070431903	prob	ratio	0	Urbano	nacional	Trimestre	6	4	267
87000	67286539.9999952	0.604058097960843	0.00301914137003868	0.598140607284867	0.609975588636819	0.002753473556992327	prob	ratio	0	Nacional	13_ciudad	Trimestre	6	6	268
169032	118704392.999998	0.0939782747399329	0.00153648329240391	0.0909668012599957	0.0969897482198701	0.0016595226190288278	tsd	ratio	0	Nacional	nacional	Trimestre	6	3	269
20736	25350013.9999945	0.0679399696652986	0.00295382088404358	0.062150545660001	0.0737293936705962	0.0031151925794624604	tsd	ratio	0	Rural	nacional	Trimestre	6	5	270
148296	93354379.0000036	0.100551562560571	0.00177208960728482	0.0970783058822887	0.104024819238853	0.0019217338687904826	tsd	ratio	0	Urbano	nacional	Trimestre	6	4	271
71024	54409183.9999945	0.0940287802451663	0.00221856694123089	0.089680394838467	0.0983771656518657	0.0022364967060125003	tsd	ratio	0	Nacional	13_ciudad	Trimestre	6	6	272
215844	153149004.999996	23131708.2099176	367650.902817979	68674538.0605733	70115711.1989321	77298.09526495128	tot_pob	total	0	Nacional	nacional	Trimestre	6	3	273
27910	34893330.9999907	4796490.78968063	178019.829622247	14040557.9578704	14738386.7802134	36077.1425924185	tot_pob	total	0	Rural	nacional	Trimestre	6	5	274
187934	118255674.000006	18335217.4202369	332881.634366741	54353212.5876063	55658091.9338154	66175.04217372855	tot_pob	total	0	Urbano	nacional	Trimestre	6	4	275
87000	67286539.9999952	10955436.0662127	262757.182803722	32351306.4187557	33381309.9785207	49938.08313384347	tot_pob	total	0	Nacional	13_ciudad	Trimestre	6	6	276
215844	153149004.999996	2399366.3382979	122218.295693657	6958554.21380709	7437643.81598032	43429.79361523109	tot_deso	total	0	Nacional	nacional	Trimestre	6	3	277
27910	34893330.9999907	349627.092831957	47065.8038156676	956633.480823534	1141129.0761682	16237.442976335145	tot_deso	total	0	Rural	nacional	Trimestre	6	5	278
187934	118255674.000006	2049739.24546595	113057.002070873	5927628.8415535	6370806.63124218	40260.606526450596	tot_deso	total	0	Urbano	nacional	Trimestre	6	4	279
87000	67286539.9999952	1137040.85504907	83907.725996329	3246664.15615947	3575580.97413496	27556.898735538252	tot_deso	total	0	Nacional	13_ciudad	Trimestre	6	6	280
215844	153149004.999996	0.645243379026821	0.0020011744929077	0.64132112709946	0.649165630954181	0.001888121087426271	tgp	ratio	0	Nacional	nacional	Trimestre	6	3	281
27910	34893330.9999907	0.609007697097962	0.00445482073688068	0.60027635993411	0.617739034261813	0.004131318230869303	tgp	ratio	0	Rural	nacional	Trimestre	6	5	282
187934	118255674.000006	0.655083035763179	0.00223594855508456	0.650700632549096	0.659465438977262	0.0020376456922932256	tgp	ratio	0	Urbano	nacional	Trimestre	6	4	283
87000	67286539.9999952	0.666751972677795	0.00288212049216526	0.661103041723889	0.6724009036317	0.0026111591162187708	tgp	ratio	0	Nacional	13_ciudad	Trimestre	6	6	284
169032	118704392.999998	14037056.4517839	269915.723419694	41582140.47042	42640198.2402832	74709.42253114433	pffl	total	0	Nacional	nacional	Trimestre	6	3	285
20736	25350013.9999945	3303886.78415226	139394.741877484	9638449.7223887	10184870.9825248	34909.65833033086	pffl	total	0	Rural	nacional	Trimestre	6	5	286
148296	93354379.0000036	10733169.6676316	239164.882753668	31730751.0897397	32668266.91605	63407.716075353615	pffl	total	0	Urbano	nacional	Trimestre	6	4	287
71024	54409183.9999945	6043917.74540303	181934.625917899	17775161.844887	18488344.6275312	47357.012269208695	pffl	total	0	Nacional	13_ciudad	Trimestre	6	6	288
215059	153278721.999999	0.584371548864245	0.0020743362440399	0.580305901652295	0.588437196076196	0.0019560644879592056	prob	ratio	0	Nacional	nacional	Trimestre	7	3	289
28286	34909389.0000008	0.56736914244405	0.00447442990402575	0.5585993716238	0.5761389132643	0.004363077409955823	prob	ratio	0	Rural	nacional	Trimestre	7	5	290
186773	118369332.999998	0.588985770426064	0.00233997908420327	0.584399469884362	0.593572070967766	0.0021204818562659848	prob	ratio	0	Urbano	nacional	Trimestre	7	4	291
86182	67342314.9999907	0.602525227192706	0.00301607442555474	0.59661374692046	0.608436707464952	0.00267324666510876	prob	ratio	0	Nacional	13_ciudad	Trimestre	7	6	292
168797	118844697	0.0936801751035399	0.00154077892633448	0.0906602822454145	0.0967000679616652	0.0016455663331962015	tsd	ratio	0	Nacional	nacional	Trimestre	7	3	293
21062	25368238.0000003	0.0701418289618944	0.00303818385479716	0.0641870553289236	0.0760966025948652	0.003277742347151511	tsd	ratio	0	Rural	nacional	Trimestre	7	5	294
147735	93476458.9999995	0.0996385126630168	0.00177018593167386	0.0961689871124997	0.103108038213534	0.0018773149085836625	tsd	ratio	0	Urbano	nacional	Trimestre	7	4	295
70559	54471473.9999913	0.0966865539114375	0.00227381287261922	0.0922298861230565	0.101143221699818	0.002293618006578325	tsd	ratio	0	Nacional	13_ciudad	Trimestre	7	6	296
215059	153278721.999999	23149819.8867306	366962.489797336	68730222.3485835	70168696.9718001	77489.29712799357	tot_pob	total	0	Nacional	nacional	Trimestre	7	3	297
28286	34909389.0000008	4797718.47979223	173725.513252335	14052657.7738568	14733653.1048966	36894.52871606075	tot_pob	total	0	Rural	nacional	Trimestre	7	5	298
186773	118369332.999998	18352101.4069384	334440.43635414	54400809.3214065	55711799.1202237	66071.7117658317	tot_pob	total	0	Urbano	nacional	Trimestre	7	4	299
86182	67342314.9999907	10940145.7491221	262848.401658248	32305256.6112955	33335617.8834371	48538.56207135292	tot_pob	total	0	Nacional	13_ciudad	Trimestre	7	6	300
215059	153278721.999999	2392840.93874046	122688.406908003	6938056.60399694	7418989.02844581	42848.11033477237	tot_deso	total	0	Nacional	nacional	Trimestre	7	3	301
28286	34909389.0000008	361905.4598845	48735.4396815505	990196.135510938	1181236.62379607	17080.237005279996	tot_deso	total	0	Rural	nacional	Trimestre	7	5	302
