n	N	estimacion	estimacion_se	estimacion_low	estimacion_upp	se	ind	des	mes	CLASE	nivel	periodicidad
77380	50428727.0000009	0.637786268102093	0.00340886983070972	0.631104901495802	0.644467634708384	9.87895137375724e-06	tgp	ratio	5	Nacional	nacional	Mensual
31261	22180000.9999977	0.65124393062254	0.00496435943004091	0.641513588181739	0.660974273063341	1.72340119151384e-05	tgp	ratio	5	Nacional	13_ciudad	Mensual
60301	38929301.0000013	14100727.3953874	152602.27794304	13801626.422993	14399828.3677818	384.580671593785	pffl	total	5	Nacional	nacional	Mensual
25254	17865738.9999982	6230784.91016296	105143.980580587	6024696.61732456	6436873.20300137	307.898358799156	pffl	total	5	Nacional	13_ciudad	Mensual
77999	50474569.0000127	0.565026214871173	0.00350080539387047	0.558164655905386	0.571887773836961	0.00367620332183572	prob	ratio	6	Nacional	nacional	Mensual
31089	22197520.9999982	0.576861606353866	0.0051375131532987	0.566791873553599	0.586931339154133	0.0047364365160789	prob	ratio	6	Nacional	13_ciudad	Mensual
60636	38976237.0000082	0.112612012235309	0.0028369187468856	0.107051642671145	0.118172381799473	0.00324796415169011	tsd	ratio	6	Nacional	nacional	Mensual
25263	17884929.9999979	0.117282231644542	0.00422697234844261	0.108997121118199	0.125567342170886	0.00480084647235033	tsd	ratio	6	Nacional	13_ciudad	Mensual
77999	50474569.0000127	22022595.6620364	199957.838980074	21630679.4174958	22414511.906577	143284.571932056	tot_pob	total	6	Nacional	nacional	Mensual
31089	22197520.9999982	10317129.4493253	140198.114312654	10042335.4958882	10591923.4027623	84710.8355395144	tot_pob	total	6	Nacional	13_ciudad	Mensual
77999	50474569.0000127	2794728.85179975	73827.6648442071	2650027.04217564	2939430.66142385	81911.3473113874	tot_deso	total	6	Nacional	nacional	Mensual
31089	22197520.9999982	1370784.64868427	52319.3243987065	1268236.66461785	1473332.63275068	58336.3679853858	tot_deso	total	6	Nacional	13_ciudad	Mensual
77999	50474569.0000127	0.636729618455238	0.00335716782415252	0.630149588321659	0.643309648588818	0.00341321971950894	tgp	ratio	6	Nacional	nacional	Mensual
31089	22197520.9999982	0.653506281434195	0.00490026531287367	0.643901563961234	0.663110998907156	0.00458800624564824	tgp	ratio	6	Nacional	13_ciudad	Mensual
60636	38976237.0000082	14158912.486172	148593.707819344	13867668.3568532	14450156.6154909	133034.460720653	pffl	total	6	Nacional	nacional	Mensual
25263	17884929.9999979	6197015.9019884	103278.125997589	5994584.79567683	6399447.00829997	82056.1705429801	pffl	total	6	Nacional	13_ciudad	Mensual
75963	50513027.0000111	0.565290924849028	0.00356411541180419	0.558305275697114	0.572276574000943	0.00328370518330976	prob	ratio	7	Nacional	nacional	Mensual
29766	22214545.0000019	0.577149253035179	0.00533870937160815	0.566685149430624	0.587613356639734	0.00508123877842678	prob	ratio	7	Nacional	13_ciudad	Mensual
58893	39015418.0000077	0.10988923635524	0.00277206237071561	0.104455982280034	0.115322490430445	0.00297558229486625	tsd	ratio	7	Nacional	nacional	Mensual
24017	17903462.0000015	0.112712889515407	0.00418137944649712	0.104517123342544	0.120908655688269	0.00447754442909279	tsd	ratio	7	Nacional	13_ciudad	Mensual
75963	50513027.0000111	22055061.7245958	201485.170067931	21660151.7554217	22449971.6937699	128115.130315596	tot_pob	total	7	Nacional	nacional	Mensual
29766	22214545.0000019	10332969.7200446	144784.947216487	10049184.8981716	10616754.5419175	90971.7653824903	tot_pob	total	7	Nacional	13_ciudad	Mensual
75963	50513027.0000111	2722822.81000566	71697.6611716452	2582295.73720124	2863349.88281007	75816.5057359317	tot_deso	total	7	Nacional	nacional	Mensual
29766	22214545.0000019	1312606.55165535	51265.971843826	1212123.00714647	1413090.09616424	53387.7000439214	tot_deso	total	7	Nacional	13_ciudad	Mensual
75963	50513027.0000111	0.635079304663519	0.00344248890510614	0.628332042882718	0.64182656644432	0.00315729987969898	tgp	ratio	7	Nacional	nacional	Mensual
29766	22214545.0000019	0.650465048139793	0.00513721943791981	0.640395873607909	0.660534222671677	0.00481380814450357	tgp	ratio	7	Nacional	13_ciudad	Mensual
58893	39015418.0000077	14237533.4654063	155037.765929751	13933658.7826259	14541408.1481867	123183.374557805	pffl	total	7	Nacional	nacional	Mensual
24017	17903462.0000015	6257885.72830157	110017.367569739	6042244.78227099	6473526.67433214	86183.83119041	pffl	total	7	Nacional	13_ciudad	Mensual
76625	50559226.0000066	0.567297679206364	0.00357286375680988	0.560294884304133	0.574300474108596	0.00361906443600738	prob	ratio	8	Nacional	nacional	Mensual
30361	22232195.9999998	0.580506460559914	0.00524663555452535	0.570222833855093	0.590790087264734	0.0048914043801665	prob	ratio	8	Nacional	13_ciudad	Mensual
59199	39062389.0000077	0.106312765098774	0.00275060129025658	0.100921575405597	0.111703954791951	0.00308641395225042	tsd	ratio	8	Nacional	nacional	Mensual
24494	17922624.000001	0.108222291186031	0.00410264384021401	0.100180859636657	0.116263722735405	0.00446981995247564	tsd	ratio	8	Nacional	13_ciudad	Mensual
76625	50559226.0000066	22160002.6239606	201680.841372423	21764709.1943837	22555296.0535375	141369.302815385	tot_pob	total	8	Nacional	nacional	Mensual
30361	22232195.9999998	10404199.0221867	143540.538009196	10122853.5209498	10685544.5234237	87666.8015376772	tot_pob	total	8	Nacional	13_ciudad	Mensual
76625	50559226.0000066	2636147.25772571	71185.6753071803	2496623.693973	2775670.82147842	77746.3156306729	tot_deso	total	8	Nacional	nacional	Mensual
30361	22232195.9999998	1262608.65797375	50356.4946049882	1163907.80724774	1361309.50869977	53510.5854915914	tot_deso	total	8	Nacional	13_ciudad	Mensual
76625	50559226.0000066	0.634783240771101	0.00345745100983504	0.62800665426952	0.641559827272682	0.00339356080962004	tgp	ratio	8	Nacional	nacional	Mensual
30361	22232195.9999998	0.650954217427082	0.00503933419892257	0.641076910111948	0.660831524742216	0.0046341926710127	tgp	ratio	8	Nacional	13_ciudad	Mensual
